cell_id,time,latitude,longitude,slope,rainfall_mm,displacement_mm_per_hr,label
JH0959,2025-09-10 15:55:00,23.746937776190155,86.4054918611214,38.62105514632455,118.88862879435575,0.0598278579686563,1
JH0574,2025-09-09 07:50:00,23.739321751393607,86.41831366641584,41.64622569438132,113.7401838529998,0.0640921625293217,1
JH0145,2025-09-07 20:05:00,23.74873177621571,86.41488551446784,25.52236112904556,110.38685949853684,0.0348493735663892,0
JH0444,2025-09-08 21:00:00,23.730811632696582,86.40363399817743,12.177356711796616,86.05402370179908,0.0907122090205647,0
JH0651,2025-09-09 14:15:00,23.732651137338127,86.41572852071874,29.035195393479484,145.6501242342847,0.0838543492782727,0
JH0542,2025-09-09 05:10:00,23.73806553634687,86.40076961044264,43.795922931339845,118.89250851778904,0.0864974911056202,1
JH0312,2025-09-08 10:00:00,23.7392549812269,86.40580030465381,20.331279376987624,103.3956887162414,0.0097538283446035,0
JH0884,2025-09-10 09:40:00,23.733824891556573,86.40873461174965,38.66079669296873,118.65333563291672,0.0069839667013021,0
JH0707,2025-09-09 18:55:00,23.743894963445225,86.4184704324994,42.72912033832853,104.92057467782804,0.0717759903417114,1
JH0134,2025-09-07 19:10:00,23.74730839334487,86.40039607326358,44.75035873150198,108.46465253219756,0.0794012698871517,1
JH0602,2025-09-09 10:10:00,23.749011129629853,86.41492168136783,23.177658368162195,5.168991616842939,0.0568354384127658,0
JH0367,2025-09-08 14:35:00,23.734578444497267,86.40707407061538,20.350519688476844,43.27478559145218,0.036818349430393,0
JH0494,2025-09-09 01:10:00,23.741690814801625,86.4174118062976,27.75225630828124,96.78753326076534,0.0664196503805092,0
JH0232,2025-09-08 03:20:00,23.74134526004977,86.40683655480672,38.98110752325099,134.26381832338333,0.0663767701565985,1
JH0812,2025-09-10 03:40:00,23.73703955056041,86.41097166001627,21.819367513419675,133.82507909077964,0.0715918703072014,0
JH0407,2025-09-08 17:55:00,23.74783139325084,86.41411700930001,38.35164696390693,112.1706531681651,0.0959601806076228,1
JH0544,2025-09-09 05:20:00,23.748199597905177,86.41727595593474,35.40697724216264,91.37806139722976,0.0262970439931097,0
