cell_id,time,latitude,longitude,slope,rainfall_mm,displacement_mm_per_hr,label,slope_orig
JH0959,2025-09-10 15:55:00,23.746937776190155,86.4054918611214,74.1758140887162,118.88862879435575,0.0598278579686563,1,67.58407756990471
JH0574,2025-09-09 07:50:00,23.739321751393607,86.41831366641584,78.10969072296288,113.7401838529998,0.0640921625293217,1,72.51277750610141
JH0145,2025-09-07 20:05:00,23.74873177621571,86.41488551446784,63.74404200469581,110.38685949853684,0.0348493735663892,0,72.26259914502117
JH0444,2025-09-08 21:00:00,23.730811632696582,86.40363399817743,70.7328797554897,86.05402370179908,0.0907122090205647,0,33.216284007159935
JH0651,2025-09-09 14:15:00,23.732651137338127,86.41572852071874,61.69357946318615,145.6501242342847,0.0838543492782727,0,69.5414771437876
JH0542,2025-09-09 05:10:00,23.73806553634687,86.40076961044264,80.073548507014,118.89250851778904,0.0864974911056202,1,76.89454474292845
JH0312,2025-09-08 10:00:00,23.7392549812269,86.40580030465381,46.54641776973979,103.3956887162414,0.0097538283446035,0,43.25075328264222
JH0884,2025-09-10 09:40:00,23.733824891556573,86.40873461174965,7.617620596923852,118.65333563291672,0.0069839667013021,0,41.46603178599506
JH0707,2025-09-09 18:55:00,23.743894963445225,86.4184704324994,83.62552013250915,104.92057467782804,0.0717759903417114,1,77.91340499858447
JH0134,2025-09-07 19:10:00,23.74730839334487,86.40039607326358,38.1336684834198,108.46465253219756,0.0794012698871517,1,60.35846884709864
JH0602,2025-09-09 10:10:00,23.749011129629853,86.41492168136783,49.35632122837777,5.168991616842939,0.0568354384127658,0,73.64183775400674
JH0367,2025-09-08 14:35:00,23.734578444497267,86.40707407061538,52.54151420929411,43.27478559145218,0.036818349430393,0,61.55417224162498
JH0494,2025-09-09 01:10:00,23.741690814801625,86.4174118062976,78.91245586462776,96.78753326076534,0.0664196503805092,0,69.57908154228565
JH0232,2025-09-08 03:20:00,23.74134526004977,86.40683655480672,67.07792705210541,134.26381832338333,0.0663767701565985,1,71.32287581682175
JH0812,2025-09-10 03:40:00,23.73703955056041,86.41097166001627,66.60376932700412,133.82507909077964,0.0715918703072014,0,68.51514671771514
JH0407,2025-09-08 17:55:00,23.74783139325084,86.41411700930001,81.66610218375827,112.1706531681651,0.0959601806076228,1,71.89402881462925
JH0544,2025-09-09 05:20:00,23.748199597905177,86.41727595593474,50.55124764166792,91.37806139722976,0.0262970439931097,0,62.31868957550505
JH0158,2025-09-07 21:10:00,23.7484662432441,86.40171416398489,72.70961936384523,84.08690062894053,0.0609370167159269,1,70.66794363388622
JH0613,2025-09-09 11:05:00,23.736098215523825,86.41784494630498,62.04316885085458,2.5430743957468693,0.0106080232520538,0,63.33443134989864
JH0191,2025-09-07 23:55:00,23.744729447871425,86.41115142628142,69.77181324889547,81.14352755502992,0.0913846722130307,1,73.47238229390037
JH0809,2025-09-10 03:25:00,23.7365716026343,86.40684392839309,62.41302126068648,88.41895641064383,0.0424364378785644,0,44.81037411958085
JH0293,2025-09-08 08:25:00,23.73140945505129,86.4090085360958,71.36655708604168,34.91837440958279,0.0207087248992048,0,39.68047387730751
JH0070,2025-09-07 13:50:00,23.74210887992677,86.41466141251686,67.78370147488978,94.39713906250108,0.0756911178098616,1,69.68809463816417
JH0240,2025-09-08 04:00:00,23.7449984316484,86.41623070241396,77.1001841197361,143.64023528632816,0.0272327987060563,0,25.39136199940908
